dataset,model,window,date,horizon_min,n_features,rmse,mae,r2,dir_acc,n,train_time_s
ar_only,linear,fixed120,2026-05-07,45,13,0.0030431800719872833,0.0021683689819329715,-0.17930987868884807,0.5660108354719133,7014,16.23824479972245
ar_only,linear,fixed240,2026-05-07,45,13,0.00288613535171863,0.002027821108747861,-0.06252961137411983,0.5545401798665506,6894,18.977223099966068
ar_only,linear,fixed300,2026-05-07,45,13,0.002816210239019691,0.0019879299405931253,-0.06704025120647006,0.5368744512730466,6834,18.784365498722764
ar_only,rf,fixed120,2026-05-07,45,13,0.0024950123683918197,0.0017295537135944194,0.2072832414030723,0.6505560307955518,7014,1597.714240700181
ar_only,rf,fixed240,2026-05-07,45,13,0.0025919979732781486,0.0017724376909428316,0.14300760399597112,0.6362053959965187,6894,1605.1179731994634
ar_only,rf,fixed300,2026-05-07,45,13,0.0025627975218675417,0.0017675145560213598,0.11635210590591039,0.6229148375768218,6834,1591.432130100642
bloomberg_only,linear,fixed120,2026-05-07,45,18,0.034730389861958456,0.0032582381606454857,-152.6002599780458,0.6113487311092102,7014,17.72875500220107
bloomberg_only,linear,fixed240,2026-05-07,45,18,0.017855657205537858,0.0025862692310421173,-39.668610341678495,0.5810850014505367,6894,41.204940801340854
bloomberg_only,linear,fixed300,2026-05-07,45,18,0.003957066373105225,0.0020642091797125044,-1.1066739537264842,0.5463857184664911,6834,44.134582398226485
bloomberg_only,rf,fixed120,2026-05-07,45,18,0.0024331019017359706,0.0016959691285387208,0.2461356082600591,0.6616766467065869,7014,1613.6247069012315
bloomberg_only,rf,fixed240,2026-05-07,45,18,0.002391845169715949,0.001644113482459906,0.2702505443250739,0.6742094574992747,6894,1616.2092208002286
bloomberg_only,rf,fixed300,2026-05-07,45,18,0.0024729298635715047,0.0017226716856478723,0.17723794455306097,0.6551068188469418,6834,1584.343827000237
trad,linear,fixed120,2026-05-07,45,31,0.025608569550007447,0.0029425660831963857,-82.51092118224338,0.6628172226974622,7014,25.483
trad,linear,fixed240,2026-05-07,45,31,0.03340303987581482,0.0029999106386491984,-141.32449032867834,0.6079199303742384,6894,73.353
trad,linear,fixed300,2026-05-07,45,31,0.004004082728902371,0.002122699304073904,-1.1570327543412993,0.5790166812993854,6834,84.009
trad,rf,fixed120,2026-05-07,45,31,0.002260641070553435,0.0015696328656953954,0.3492175077788867,0.7003136583974907,7014,1832.4277482001053
trad,rf,fixed240,2026-05-07,45,31,0.002261361469600029,0.0015494621631810359,0.3476996229991358,0.6993037423846823,6894,1904.4528623993683
trad,rf,fixed300,2026-05-07,45,31,0.002290086999637611,0.0015794258665797467,0.2944064230357113,0.6836406204272754,6834,1594.605875701207
