dataset,model,window,date,horizon_min,n_features,rmse,mae,r2,dir_acc,n,train_time_s
ar_only,linear,fixed120,2026-05-07,30,13,0.002492571301761986,0.001753803290039035,-0.19216451021704373,0.5483319076133447,7014,21.9446601010859
ar_only,linear,fixed240,2026-05-07,30,13,0.0023606430807230935,0.0016438942041515684,-0.0711604548508491,0.5323469683783,6894,22.381458999821916
ar_only,linear,fixed300,2026-05-07,30,13,0.002303660936853278,0.0016075247253663357,-0.06695474742848218,0.525753585016096,6834,22.29434969983413
ar_only,rf,fixed120,2026-05-07,30,13,0.0021375536323021108,0.0014986238351991411,0.1232514656002539,0.621043627031651,7014,2168.560970302322
ar_only,rf,fixed240,2026-05-07,30,13,0.0021957911601577914,0.0015170855937528364,0.0732215246940554,0.598781549173194,6894,2069.0190860010625
ar_only,rf,fixed300,2026-05-07,30,13,0.002171030950914009,0.0015092380678666487,0.05236538982940886,0.585308750365818,6834,2050.5216788009566
bloomberg_only,linear,fixed120,2026-05-07,30,18,0.03491722403470441,0.0028504552708523627,-232.948587279896,0.5829769033361848,7014,18.914765200053807
bloomberg_only,linear,fixed240,2026-05-07,30,18,0.011582625146650281,0.0020478791727984776,-24.78741898209918,0.5591818973020017,6894,19.01032440084964
bloomberg_only,linear,fixed300,2026-05-07,30,18,0.003082914824601933,0.0016794744465812655,-0.9108734939504668,0.5317529997073456,6834,19.012990299146622
bloomberg_only,rf,fixed120,2026-05-07,30,18,0.00218331550584304,0.0015152069704353632,0.08530984139178155,0.6224693470202453,7014,1822.2540038988518
bloomberg_only,rf,fixed240,2026-05-07,30,18,0.0021407776140040485,0.001468079242954912,0.11907895899517629,0.6234406730490282,6894,2435.6478186993336
bloomberg_only,rf,fixed300,2026-05-07,30,18,0.002132436461410355,0.001475135016639126,0.08575817961675225,0.6119402985074627,6834,2106.179788699432
trad,linear,fixed120,2026-05-07,30,31,0.03523576840440507,0.002924827182539638,-237.23661063819688,0.6236099230111206,7014,33.25018810114125
trad,linear,fixed240,2026-05-07,30,31,0.02154619470352294,0.002401634789058473,-88.23496014526178,0.5761531766753699,6894,35.89261479940615
trad,linear,fixed300,2026-05-07,30,31,0.0032210617352169996,0.001758770240593284,-1.085964827688664,0.5528241147205151,6834,37.08345069788629
trad,rf,fixed120,2026-05-07,30,31,0.0020485395069665267,0.0014228473450372723,0.1947519236410028,0.6512688907898488,7014,2506.204708601261
trad,rf,fixed240,2026-05-07,30,31,0.0020381885083762753,0.001403107267083957,0.20148593317719432,0.6470844212358573,6894,2087.5908952013124
trad,rf,fixed300,2026-05-07,30,31,0.002027996826727195,0.0014002346989945786,0.17311821286985285,0.6338893766461808,6834,1879.8024620006327
