2026-04-20T09:07:42  linear   fixed120    data=2026-04-17  rmse=7.52552e-02  mae=5.63829e-03  r2=-4664.7180  dir_acc=0.499
2026-04-20T09:07:59  linear   fixed240    data=2026-04-17  rmse=5.51065e-02  mae=3.20118e-03  r2=-2556.6257  dir_acc=0.497
2026-04-20T09:08:13  linear   fixed300    data=2026-04-17  rmse=6.16116e-02  mae=2.98772e-03  r2=-3254.8857  dir_acc=0.489
2026-04-20T09:08:50  linear   expanding   data=2026-04-17  rmse=3.69625e-02  mae=2.26178e-03  r2=-1124.5619  dir_acc=0.512
2026-04-20T09:25:09  rf       fixed120    data=2026-04-17  rmse=1.16250e-03  mae=7.88162e-04  r2=-0.1134  dir_acc=0.491
2026-04-20T09:42:19  rf       fixed240    data=2026-04-17  rmse=1.14076e-03  mae=7.69658e-04  r2=-0.0960  dir_acc=0.486
2026-04-20T10:04:34  rf       fixed300    data=2026-04-17  rmse=1.13386e-03  mae=7.63112e-04  r2=-0.1027  dir_acc=0.484
2026-04-20T12:52:02  rf       expanding   data=2026-04-17  rmse=1.14984e-03  mae=7.73586e-04  r2=-0.0892  dir_acc=0.478
2026-04-20T13:05:03  lstm     fixed120    data=2026-04-17  rmse=1.18555e-03  mae=8.09437e-04  r2=-0.1579  dir_acc=0.502
2026-04-21T08:46:30  lstm     fixed240    data=2026-04-17  rmse=1.17497e-03  mae=7.99321e-04  r2=-0.1628  dir_acc=0.502  train_time=605.0s
2026-04-21T09:00:12  lstm     fixed300    data=2026-04-17  rmse=1.15667e-03  mae=7.82847e-04  r2=-0.1475  dir_acc=0.487  train_time=546.7s
2026-04-25T00:39:01  lstm     fixed300    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.79419e-03  mae=2.61320e-03  r2=-0.0493  dir_acc=0.576  train_time=552.4s
2026-04-25T01:04:16  lstm     expanding   poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=4.23384e-03  mae=3.03418e-03  r2=-0.2420  dir_acc=0.578  train_time=1220.9s
2026-04-25T01:04:26  linear   fixed120    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=2.62202e-02  mae=3.24076e-03  r2=-46.6346  dir_acc=0.641  train_time=7.6s
2026-04-25T01:04:35  linear   fixed240    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=4.13970e-03  mae=2.72160e-03  r2=-0.2345  dir_acc=0.590  train_time=7.1s
2026-04-25T01:04:46  linear   fixed300    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=4.14939e-03  mae=2.73092e-03  r2=-0.2550  dir_acc=0.559  train_time=8.1s
2026-04-25T01:05:00  linear   expanding   trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.88023e-03  mae=2.64039e-03  r2=-0.0432  dir_acc=0.538  train_time=12.3s
2026-04-25T01:23:29  rf       fixed120    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=2.88276e-03  mae=1.98701e-03  r2=+0.4242  dir_acc=0.725  train_time=956.3s
2026-04-25T01:41:41  rf       fixed240    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=2.85522e-03  mae=1.97522e-03  r2=+0.4127  dir_acc=0.713  train_time=944.6s
2026-04-25T02:00:36  rf       fixed300    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.01780e-03  mae=2.08933e-03  r2=+0.3362  dir_acc=0.684  train_time=951.9s
2026-04-25T03:01:06  rf       expanding   trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.32501e-03  mae=2.30503e-03  r2=+0.2340  dir_acc=0.648  train_time=3464.7s
2026-04-25T03:17:17  lstm     fixed120    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.98634e-03  mae=2.80052e-03  r2=-0.1010  dir_acc=0.530  train_time=662.5s
2026-04-25T03:38:25  lstm     fixed240    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.95186e-03  mae=2.76086e-03  r2=-0.1250  dir_acc=0.548  train_time=850.1s
2026-04-25T03:53:26  lstm     fixed300    trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=3.96878e-03  mae=2.74827e-03  r2=-0.1481  dir_acc=0.550  train_time=603.6s
2026-04-25T04:24:11  lstm     expanding   trad   h=60m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=4.42195e-03  mae=3.15116e-03  r2=-0.3548  dir_acc=0.527  train_time=1521.6s
2026-04-26T20:59:45  linear   fixed120    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.25966e-01  mae=6.04952e-03  r2=-13085.9418  dir_acc=0.488  train_time=48.8s
2026-04-26T21:00:54  linear   fixed240    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=7.01262e-02  mae=2.48963e-03  r2=-4145.5038  dir_acc=0.503  train_time=63.6s
2026-04-26T21:02:06  linear   fixed300    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=6.86519e-02  mae=2.69502e-03  r2=-4046.0702  dir_acc=0.507  train_time=66.6s
2026-04-26T21:03:03  linear   expanding   poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=7.15088e-02  mae=2.63160e-03  r2=-4216.4553  dir_acc=0.509  train_time=50.9s
2026-04-26T21:19:14  rf       fixed120    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.14793e-03  mae=7.78758e-04  r2=-0.0868  dir_acc=0.495  train_time=824.5s
2026-04-26T21:35:05  rf       fixed240    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.12277e-03  mae=7.59065e-04  r2=-0.0629  dir_acc=0.495  train_time=810.0s
2026-04-26T21:52:05  rf       fixed300    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.11998e-03  mae=7.53494e-04  r2=-0.0771  dir_acc=0.489  train_time=878.9s
2026-04-27T00:23:06  rf       expanding   poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.12619e-03  mae=7.52468e-04  r2=-0.0461  dir_acc=0.498  train_time=8910.2s
2026-04-27T00:36:05  lstm     fixed120    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.13826e-03  mae=7.67107e-04  r2=-0.0686  dir_acc=0.500  train_time=516.2s
2026-04-27T00:49:16  lstm     fixed240    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.12161e-03  mae=7.52329e-04  r2=-0.0607  dir_acc=0.499  train_time=545.0s
2026-04-27T01:01:25  lstm     fixed300    poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.11929e-03  mae=7.50926e-04  r2=-0.0758  dir_acc=0.495  train_time=487.0s
2026-04-27T01:23:07  lstm     expanding   poly   h=5m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.14057e-03  mae=7.69766e-04  r2=-0.0729  dir_acc=0.495  train_time=1014.6s
2026-04-27T01:23:15  linear   fixed120    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=4.66105e-03  mae=9.40249e-04  r2=-16.9184  dir_acc=0.483  train_time=6.7s
2026-04-27T01:23:24  linear   fixed240    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.18106e-03  mae=7.82598e-04  r2=-0.1762  dir_acc=0.495  train_time=6.5s
2026-04-27T01:23:33  linear   fixed300    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.13419e-03  mae=7.50508e-04  r2=-0.1046  dir_acc=0.497  train_time=6.5s
2026-04-27T01:23:44  linear   expanding   trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.13364e-03  mae=7.43595e-04  r2=-0.0599  dir_acc=0.510  train_time=8.8s
2026-04-27T01:39:41  rf       fixed120    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.16374e-03  mae=7.86578e-04  r2=-0.1170  dir_acc=0.484  train_time=813.8s
2026-04-27T01:55:54  rf       fixed240    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.13844e-03  mae=7.65775e-04  r2=-0.0928  dir_acc=0.480  train_time=807.0s
2026-04-27T02:11:38  rf       fixed300    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.12593e-03  mae=7.52978e-04  r2=-0.0886  dir_acc=0.483  train_time=807.1s
2026-04-27T03:21:56  rf       expanding   trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.13263e-03  mae=7.55320e-04  r2=-0.0581  dir_acc=0.495  train_time=4065.2s
2026-04-27T03:37:09  lstm     fixed120    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.14912e-03  mae=7.80823e-04  r2=-0.0891  dir_acc=0.487  train_time=573.9s
2026-04-27T03:53:59  lstm     fixed240    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.13471e-03  mae=7.61965e-04  r2=-0.0857  dir_acc=0.492  train_time=737.3s
2026-04-27T04:10:30  lstm     fixed300    trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.10458e-03  mae=7.39388e-04  r2=-0.0477  dir_acc=0.497  train_time=717.5s
2026-04-27T04:38:35  lstm     expanding   trad   h=5m  alpha=10  pca=5  f=25  data=2026-04-23  rmse=1.12348e-03  mae=7.46627e-04  r2=-0.0410  dir_acc=0.506  train_time=1386.8s
