dataset,model,window,date,horizon_min,n_features,rmse,mae,r2,dir_acc,n,train_time_s
ar_only,lstm,expanding,2026-05-07,15,13,0.0016474242216473849,0.0011188440017755106,-0.05517045083197125,0.49615055603079555,7014,5222.167
ar_only,lstm,fixed240,2026-05-07,15,13,0.0016736277966548092,0.001157205260117208,-0.08964642314266924,0.49158688714824483,6894,1606.549
bloomberg_only,lstm,expanding,2026-05-07,15,18,0.0016791511984316854,0.0011572117080197507,-0.09620387802802965,0.5096948959224409,7014,3089.479
bloomberg_only,lstm,fixed240,2026-05-07,15,18,0.0016911899632826386,0.0011638983849572777,-0.11263475606211837,0.4937626921961126,6894,2084.806
trad,lstm,expanding,2026-05-07,15,31,0.001717946681440856,0.001190217385487673,-0.14744291399870235,0.5005702879954377,7014,4449.342
trad,lstm,fixed240,2026-05-07,15,31,0.0017003089168368343,0.0011712205552897414,-0.12466583340566917,0.49521322889469105,6894,1300.476
