dataset,model,window,date,horizon_min,n_features,rmse,mae,r2,dir_acc,n,train_time_s
ar_only,rf,fixed120,2026-05-07,60,13,0.002759538430805647,0.0019129917219198047,0.27137731175465907,0.6656686626746507,7014,1459.3040785998564
ar_only,rf,fixed240,2026-05-07,60,13,0.0028954702000461244,0.001981321784167375,0.19613852766709639,0.6418624891209748,6894,1585.5338379001478
ar_only,rf,fixed300,2026-05-07,60,13,0.002850991887951353,0.001974009727953902,0.17652500773059554,0.6366695932104185,6834,1588.2123565002803
bloomberg_only,rf,fixed120,2026-05-07,60,18,0.0025862439496529793,0.0017954831287025686,0.36001650700012344,0.6994582264043342,7014,1320.3506670000388
bloomberg_only,rf,fixed240,2026-05-07,60,18,0.0025713352623082525,0.0017684814396622007,0.366042088101071,0.7027850304612707,6894,1436.9558617999246
bloomberg_only,rf,fixed300,2026-05-07,60,18,0.002780714473822226,0.0019338477901957771,0.21662222440180878,0.6688615744805385,6834,1540.1327521999465
trad,rf,fixed120,2026-05-07,60,31,0.002384212705771194,0.0016500191816670154,0.45609908026607804,0.7278300541773596,7014,2399.049
trad,rf,fixed240,2026-05-07,60,31,0.002405519717568711,0.001641135415214606,0.4451688226059054,0.7325210327821294,6894,1424.8527044999882
trad,rf,fixed300,2026-05-07,60,31,0.0024907906426072123,0.0017015521435507198,0.3714600268945327,0.7120280948200176,6834,1489.6636798000764
