dataset,scheme,horizon_min,stride_bars,model,n_decisions,n_trades,pct_time_long,terminal,total_return,sharpe,bh_terminal,bh_total_return,bh_sharpe
poly,expanding,15,3,pls_ols,2337,535,0.3769790329482242,1009.7705028708899,0.009770502870889874,0.5938280890255505,992.8603528049061,-0.007139647195093857,-0.2854137331552519
poly,expanding,15,3,rf_pls,2337,695,0.4548566538296962,1019.1382166640159,0.01913821666401594,1.0629085512592087,992.8603528049061,-0.007139647195093857,-0.2854137331552519
poly,fixed120,15,3,pls_ols,2337,836,0.5087719298245614,1009.2261878830125,0.009226187883012438,0.5516317087460382,992.8603528049061,-0.007139647195093857,-0.2854137331552519
poly,fixed120,15,3,rf_pls,2337,858,0.4946512623020967,953.6887909703419,-0.04631120902965813,-2.6090906791868598,992.8603528049061,-0.007139647195093857,-0.2854137331552519
poly,fixed240,15,3,pls_ols,2297,820,0.48802786242925555,964.3667920121113,-0.035633207987888715,-2.11057826884887,988.7382891864464,-0.011261710813553538,-0.45792490584222156
poly,fixed240,15,3,rf_pls,2297,840,0.4884632128863735,937.1155610151193,-0.06288443898488072,-3.7336313331574287,988.7382891864464,-0.011261710813553538,-0.45792490584222156
poly,fixed300,15,3,pls_ols,2277,784,0.466403162055336,999.5046579083725,-0.0004953420916276041,-0.030097496874870733,1004.9351026526975,0.004935102652697587,0.20368216205136758
poly,fixed300,15,3,rf_pls,2277,796,0.48484848484848486,1006.6474760989092,0.006647476098909255,0.38404706663199745,1004.9351026526975,0.004935102652697587,0.20368216205136758
poly,expanding,60,12,pls_ols,584,163,0.3852739726027397,1003.7201729199459,0.0037201729199458633,0.241486746143872,993.9869992594513,-0.0060130007405486685,-0.24655692546488
poly,fixed120,60,12,pls_ols,584,204,0.5068493150684932,1085.2532967707327,0.08525329677073268,4.691448484071059,993.9869992594513,-0.0060130007405486685,-0.24655692546488
poly,fixed240,60,12,pls_ols,574,196,0.4930313588850174,1072.963334206631,0.07296333420663115,3.9283276875891953,989.8602581369015,-0.010139741863098517,-0.42288675819584876
poly,fixed300,60,12,pls_ols,569,174,0.44991212653778556,1037.8467291675267,0.03784672916752685,2.278987425014433,1006.0754509073673,0.006075450907367275,0.257823396234576
