dataset,model,window,date,horizon_min,ridge_alpha,pca_applied,pca_n,n_features,rmse,mae,r2,dir_acc,n,train_time_s
poly,linear,expanding,2026-04-19,60,10.0,True,30,163,1.715354400168321,0.035684459634965485,-203871.09810076715,0.512112676056338,3550,43.907
poly,linear,fixed120,2026-04-19,60,10.0,True,30,163,0.798999063415698,0.025358608575887193,-44231.61456661966,0.5507042253521127,3550,17.998
poly,linear,fixed240,2026-04-19,60,10.0,True,30,163,1.3100527486264444,0.02843087152772391,-123635.15560093946,0.5355685131195336,3430,21.158
poly,linear,fixed300,2026-04-19,60,10.0,True,30,163,1.3821904821588875,0.030147813496750758,-139249.76814834573,0.5320474777448071,3370,21.8
poly,lstm,expanding,2026-04-19,60,10.0,True,30,163,0.004173470020720169,0.0029586101108598113,-0.20682602457749222,0.5735211267605633,3550,1366.15
poly,lstm,fixed120,2026-04-19,60,10.0,True,30,163,0.004084155553033114,0.0028740316705684887,-0.15572529843770044,0.523661971830986,3550,693.238
poly,lstm,fixed240,2026-04-19,60,10.0,True,30,163,0.003827923399267576,0.0026951232532460173,-0.05558790194586538,0.5615160349854227,3430,828.29
poly,lstm,fixed300,2026-04-19,60,10.0,True,30,163,0.0037898625211697317,0.0026196986371599786,-0.04690847488273442,0.5694362017804154,3370,967.372
poly,rf,expanding,2026-04-19,60,10.0,True,30,163,0.0036574484370209795,0.002494214433850093,0.0731563158807752,0.5805633802816902,3550,9373.079
poly,rf,fixed120,2026-04-19,60,10.0,True,30,163,0.0033512637556676406,0.002313155619496898,0.2218428902674352,0.6442253521126761,3550,1710.135
poly,rf,fixed240,2026-04-19,60,10.0,True,30,163,0.0034709317119139688,0.0023649139647094895,0.13211922970320056,0.6198250728862974,3430,24744.252
poly,rf,fixed300,2026-04-19,60,10.0,True,30,163,0.0034687796331568078,0.0023715438946550877,0.12296843427577209,0.6077151335311572,3370,720.138
trad,linear,expanding,2026-04-19,60,10.0,True,5,31,0.003938489826708997,0.0026435996089722827,-0.07475512957047159,0.5416901408450704,3550,25.697
trad,linear,fixed120,2026-04-19,60,10.0,True,5,31,0.021109580332470877,0.003142688449865487,-29.875163738351215,0.6569014084507042,3550,7.063
trad,linear,fixed240,2026-04-19,60,10.0,True,5,31,0.004101846309132777,0.0027536785365565443,-0.21206718895859233,0.5935860058309038,3430,13.073
trad,linear,fixed300,2026-04-19,60,10.0,True,5,31,0.004594164905962301,0.002731668161287668,-0.5384201634624743,0.568545994065282,3370,15.776
trad,lstm,expanding,2026-04-19,60,10.0,True,5,31,0.004477361285556856,0.003144614211185553,-0.38897474744678884,0.5383098591549296,3550,3509.087
trad,lstm,fixed120,2026-04-19,60,10.0,True,5,31,0.0039194411289100745,0.002724335469261505,-0.06438405943997072,0.5515492957746478,3550,756.45
trad,lstm,fixed240,2026-04-19,60,10.0,True,5,31,0.0036440488972722587,0.002586367555594492,0.04338691099864289,0.5705539358600583,3430,875.959
trad,lstm,fixed300,2026-04-19,60,10.0,True,5,31,0.0037846499109258458,0.002653500063728097,-0.044030601123100865,0.5605341246290801,3370,781.053
trad,rf,expanding,2026-04-19,60,10.0,True,5,31,0.0031736934382540346,0.002173462040554234,0.30212117942211236,0.6738028169014084,3550,3089.8
trad,rf,fixed120,2026-04-19,60,10.0,True,5,31,0.0027984613807403337,0.001925043615911108,0.4573888590929621,0.7290140845070423,3550,925.872
trad,rf,fixed240,2026-04-19,60,10.0,True,5,31,0.002759395858072387,0.0018945415753618892,0.45147560983010804,0.7276967930029155,3430,859.055
trad,rf,fixed300,2026-04-19,60,10.0,True,5,31,0.0028737367311142893,0.0019587813027945686,0.398056455231375,0.7109792284866469,3370,770.443
